0.00.131.760 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.235.748 W srv  llama_server: -----------------
0.00.235.750 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.235.750 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.235.750 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.235.750 W srv  llama_server: -----------------
0.00.236.993 I srv    load_model: loading model '<VAULT>/models/gguf/Qwen3.8-27B/Qwen3.8-27B-UD-Q5_K_XL.gguf'
0.00.729.656 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.729.661 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.729.665 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.729.666 W model has unused tensor blk.64.attn_k.weight (size = 4300800 bytes) -- ignoring
0.00.729.668 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.729.673 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.729.675 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.729.676 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.729.677 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.729.679 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.729.680 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.729.682 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 55705600 bytes) -- ignoring
0.00.729.683 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.729.685 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.729.689 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.992.182 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.01.994.962 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.994.991 I srv  llama_server: model loaded
0.01.994.993 I srv  llama_server: listening on http://127.0.0.1:8198
0.05.114.368 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.222.199 I slot print_timing: id  0 | task 557 | prompt eval time =     105.02 ms /     4 tokens (   26.25 ms per token,    38.09 tokens per second)
0.17.222.201 I slot print_timing: id  0 | task 557 |        eval time =    2852.32 ms /   187 tokens (   15.25 ms per token,    65.56 tokens per second)
0.17.222.202 I slot print_timing: id  0 | task 557 |       total time =    2957.34 ms /   191 tokens
0.17.222.202 I slot print_timing: id  0 | task 557 |    graphs reused =        733
0.17.222.219 I slot      release: id  0 | task 557 | stop processing: n_tokens = 223, truncated = 0
0.17.227.853 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10047754709
0.17.387.676 I slot launch_slot_: id  0 | task 745 | processing task, is_child = 0
0.20.519.305 I slot print_timing: id  0 | task 745 | n_decoded =    199, tg =  66.02 t/s, tg_3s =  66.02 t/s
0.22.273.792 I slot print_timing: id  0 | task 745 | prompt eval time =     117.29 ms /    51 tokens (    2.30 ms per token,   434.81 tokens per second)
0.22.273.796 I slot print_timing: id  0 | task 745 |        eval time =    4768.81 ms /   314 tokens (   15.19 ms per token,    65.84 tokens per second)
0.22.273.796 I slot print_timing: id  0 | task 745 |       total time =    4886.10 ms /   365 tokens
0.22.273.797 I slot print_timing: id  0 | task 745 |    graphs reused =       1044
0.22.273.814 I slot      release: id  0 | task 745 | stop processing: n_tokens = 364, truncated = 0
0.22.277.494 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.140
0.22.402.292 I slot launch_slot_: id  0 | task 1061 | processing task, is_child = 0
0.25.507.014 I slot print_timing: id  0 | task 1061 | n_decoded =    198, tg =  65.89 t/s, tg_3s =  65.89 t/s
0.26.866.337 I slot print_timing: id  0 | task 1061 | prompt eval time =      99.49 ms /     4 tokens (   24.87 ms per token,    40.20 tokens per second)
0.26.866.340 I slot print_timing: id  0 | task 1061 |        eval time =    4364.53 ms /   286 tokens (   15.26 ms per token,    65.53 tokens per second)
0.26.866.341 I slot print_timing: id  0 | task 1061 |       total time =    4464.03 ms /   290 tokens
0.26.866.341 I slot print_timing: id  0 | task 1061 |    graphs reused =       1327
0.26.866.357 I slot      release: id  0 | task 1061 | stop processing: n_tokens = 336, truncated = 0
0.26.868.657 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.152
0.27.032.374 I slot launch_slot_: id  0 | task 1348 | processing task, is_child = 0
0.30.137.489 I slot print_timing: id  0 | task 1348 | n_decoded =    198, tg =  65.92 t/s, tg_3s =  65.92 t/s
0.32.112.636 I slot print_timing: id  0 | task 1348 | prompt eval time =     101.27 ms /     4 tokens (   25.32 ms per token,    39.50 tokens per second)
0.32.112.639 I slot print_timing: id  0 | task 1348 |        eval time =    4978.98 ms /   327 tokens (   15.23 ms per token,    65.68 tokens per second)
0.32.112.640 I slot print_timing: id  0 | task 1348 |       total time =    5080.25 ms /   331 tokens
0.32.112.641 I slot print_timing: id  0 | task 1348 |    graphs reused =       1651
0.32.112.658 I slot      release: id  0 | task 1348 | stop processing: n_tokens = 377, truncated = 0
0.32.118.364 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.135
0.32.281.517 I slot launch_slot_: id  0 | task 1676 | processing task, is_child = 0
0.35.386.705 I slot print_timing: id  0 | task 1676 | n_decoded =    199, tg =  66.24 t/s, tg_3s =  66.24 t/s
0.37.507.423 I slot print_timing: id  0 | task 1676 | prompt eval time =     101.06 ms /     4 tokens (   25.27 ms per token,    39.58 tokens per second)
0.37.507.426 I slot print_timing: id  0 | task 1676 |        eval time =    5124.82 ms /   338 tokens (   15.16 ms per token,    65.95 tokens per second)
0.37.507.426 I slot print_timing: id  0 | task 1676 |       total time =    5225.89 ms /   342 tokens
0.37.507.427 I slot print_timing: id  0 | task 1676 |    graphs reused =       1986
0.37.507.442 I slot      release: id  0 | task 1676 | stop processing: n_tokens = 388, truncated = 0
0.37.516.840 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10068039933
0.37.680.409 I slot launch_slot_: id  0 | task 2015 | processing task, is_child = 0
0.39.493.246 I slot print_timing: id  0 | task 2015 | prompt eval time =    1778.85 ms /  5792 tokens (    0.31 ms per token,  3256.03 tokens per second)
0.39.493.250 I slot print_timing: id  0 | task 2015 |        eval time =      33.97 ms /     3 tokens (   11.32 ms per token,    88.32 tokens per second)
0.39.493.250 I slot print_timing: id  0 | task 2015 |       total time =    1812.82 ms /  5795 tokens
0.39.493.250 I slot print_timing: id  0 | task 2015 |    graphs reused =       1987
0.39.493.307 I slot      release: id  0 | task 2015 | stop processing: n_tokens = 5794, truncated = 0
0.39.507.643 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.39.507.719 I slot launch_slot_: id  0 | task 2023 | processing task, is_child = 0
0.39.645.355 I slot print_timing: id  0 | task 2023 | prompt eval time =     103.68 ms /     4 tokens (   25.92 ms per token,    38.58 tokens per second)
0.39.645.358 I slot print_timing: id  0 | task 2023 |        eval time =      33.94 ms /     3 tokens (   11.31 ms per token,    88.39 tokens per second)
0.39.645.358 I slot print_timing: id  0 | task 2023 |       total time =     137.62 ms /     7 tokens
0.39.645.359 I slot print_timing: id  0 | task 2023 |    graphs reused =       1988
0.39.645.420 I slot      release: id  0 | task 2023 | stop processing: n_tokens = 5794, truncated = 0
0.39.660.888 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.39.660.970 I slot launch_slot_: id  0 | task 2027 | processing task, is_child = 0
0.39.780.913 I slot print_timing: id  0 | task 2027 | prompt eval time =     103.40 ms /     4 tokens (   25.85 ms per token,    38.69 tokens per second)
0.39.780.916 I slot print_timing: id  0 | task 2027 |        eval time =      16.54 ms /     2 tokens (    8.27 ms per token,   120.93 tokens per second)
0.39.780.916 I slot print_timing: id  0 | task 2027 |       total time =     119.93 ms /     6 tokens
0.39.780.917 I slot print_timing: id  0 | task 2027 |    graphs reused =       1988
0.39.780.972 I slot      release: id  0 | task 2027 | stop processing: n_tokens = 5793, truncated = 0
0.39.832.418 I srv    operator(): operator(): cleaning up before exit...
